date,source,spot,iv30,iv60,iv90,slope_30_60,slope_30_90,ratio_30_60,rr25_30,rr25_60,rr25_90,bf25_30,bf25_60,bf25_90,rr_slope_30_90,bf_slope_30_90,rr25_30_norm,rr25_60_norm,rr25_90_norm,bf25_30_norm,iv180,iv365,slope_90_180,ratio_90_180,slope_180_365,rr25_180
2026-07-10,cboe,725.660000,0.226806,0.233266,0.238725,-0.006460,-0.011919,0.972308,0.058460,0.060546,0.061168,0.004562,0.004322,0.004270,-0.002708,0.000292,0.257754,0.259558,0.256227,0.020114,,,,,,
2026-07-14,cboe,719.650000,0.249431,0.244538,0.246884,0.004894,0.002547,1.020012,0.069577,0.066877,0.066730,0.003403,0.003862,0.003664,0.002847,-0.000261,0.278941,0.273482,0.270289,0.013642,0.255379,0.264596,-0.008495,0.966736,-0.009217,0.065606
2026-07-17,cboe,695.120000,0.262160,0.253745,0.251471,0.008415,0.010689,1.033165,0.081101,0.075856,0.074822,0.001978,0.002349,0.004134,0.006279,-0.002155,0.309357,0.298947,0.297538,0.007547,0.257058,0.267709,-0.005587,0.978265,-0.010651,0.069878
2026-07-20,cboe,695.326200,0.258865,0.251443,0.250260,0.007422,0.008605,1.029517,0.079205,0.073869,0.072218,0.001980,0.002581,0.003114,0.006987,-0.001134,0.305971,0.293782,0.288573,0.007649,0.253835,0.265947,-0.003575,0.985915,-0.012112,0.069433
2026-07-21,cboe,708.460000,0.239194,0.239598,0.241936,-0.000404,-0.002742,0.998315,0.072346,0.068992,0.068643,0.003683,0.003681,0.004070,0.003703,-0.000387,0.302455,0.287950,0.283723,0.015397,0.250912,0.262885,-0.008976,0.964228,-0.011974,0.066997
2026-07-22,cboe,706.460000,0.238372,0.239641,0.242822,-0.001269,-0.004450,0.994705,0.074165,0.069904,0.068772,0.003747,0.003958,0.003929,0.005393,-0.000182,0.311131,0.291701,0.283221,0.015718,0.253458,0.262193,-0.010635,0.958038,-0.008735,0.067261
2026-07-23,cboe,695.550000,0.254581,0.249265,0.250175,0.005315,0.004406,1.021324,0.079412,0.075183,0.073535,0.001502,0.003304,0.003463,0.005877,-0.001961,0.311931,0.301618,0.293933,0.005900,0.255740,0.265333,-0.005565,0.978241,-0.009593,0.070082
2026-07-24,cboe,684.690000,0.258676,0.252275,0.253011,0.006401,0.005665,1.025372,0.075429,0.073877,0.072676,0.001015,0.003106,0.003186,0.002754,-0.002171,0.291598,0.292844,0.287244,0.003925,0.257120,0.268320,-0.004110,0.984015,-0.011199,0.069569
2026-07-27,cboe,682.120000,0.256957,0.246909,0.249456,0.010048,0.007501,1.040696,0.072774,0.071650,0.072686,0.002008,0.003847,0.002225,0.000089,-0.000217,0.283216,0.290187,0.291376,0.007816,0.251574,0.264500,-0.002118,0.991580,-0.012926,0.067640
2026-07-28,cboe,676.910000,0.259664,0.248749,0.249944,0.010915,0.009721,1.043880,0.069686,0.068785,0.068902,0.002006,0.002592,0.001886,0.000784,0.000120,0.268369,0.276523,0.275668,0.007724,0.253336,0.263140,-0.003392,0.986611,-0.009804,0.065798
2026-07-29,cboe,658.950000,0.275791,0.257979,0.258563,0.017812,0.017228,1.069044,0.075249,0.072808,0.071852,0.002799,0.004500,0.002561,0.003397,0.000238,0.272847,0.282225,0.277888,0.010150,0.258385,0.266132,0.000178,1.000687,-0.007747,0.068611
2026-07-30,cboe,685.800000,0.245164,0.239060,0.242546,0.006103,0.002618,1.025531,0.059932,0.059729,0.060607,0.003417,0.003752,0.002905,-0.000675,0.000513,0.244458,0.249848,0.249880,0.013939,0.247190,0.258883,-0.004644,0.981211,-0.011693,0.059310
2026-07-31,cboe,687.250000,0.229251,0.230221,0.233319,-0.000970,-0.004068,0.995788,0.057766,0.060724,0.062443,0.002430,0.004373,0.004670,-0.004677,-0.002239,0.251977,0.263766,0.267629,0.010600,0.242442,0.256664,-0.009123,0.962371,-0.014222,0.060749
2026-08-03,cboe,700.452300,0.218800,0.221903,0.231357,-0.003102,-0.012557,0.986019,0.047010,0.051919,0.054286,0.004215,0.005205,0.002965,-0.007275,0.001250,0.214855,0.233973,0.234639,0.019264,0.238728,0.251943,-0.007370,0.969128,-0.013216,0.055340
2026-08-04,cboe,721.860000,0.228918,0.226473,0.239897,0.002445,-0.010979,1.010795,0.015523,0.028928,0.040185,0.010376,0.009896,0.004841,-0.024662,0.005534,0.067810,0.127735,0.167510,0.045324,0.247250,0.257377,-0.007353,0.970260,-0.010127,0.041157
2026-08-06,cboe,714.610000,0.212249,0.215812,0.225382,-0.003563,-0.013133,0.983489,0.041548,0.044613,0.047151,0.004444,0.005454,0.004565,-0.005603,-0.000121,0.195752,0.206723,0.209205,0.020939,0.236362,0.254098,-0.010980,0.953546,-0.017735,0.048804
2026-08-07,cboe,722.310000,0.203272,0.210477,0.221193,-0.007205,-0.017920,0.965769,0.035677,0.040700,0.044272,0.004375,0.005511,0.004496,-0.008595,-0.000122,0.175513,0.193369,0.200152,0.021521,0.232940,0.249646,-0.011747,0.949570,-0.016706,0.047689
2026-08-10,cboe,721.050000,0.203915,0.211990,0.221729,-0.008075,-0.017814,0.961908,0.039440,0.044226,0.047525,0.004764,0.005062,0.004418,-0.008085,0.000347,0.193412,0.208621,0.214336,0.023364,0.232972,0.249845,-0.011243,0.951739,-0.016872,0.049687
2026-08-11,cboe,719.280000,0.195086,0.206000,0.216700,-0.010914,-0.021614,0.947021,0.039782,0.044884,0.047962,0.005430,0.005454,0.004671,-0.008180,0.000759,0.203919,0.217882,0.221327,0.027836,0.228993,0.245918,-0.012293,0.946318,-0.016925,0.049453
2026-08-12,cboe,722.820000,0.185615,0.199913,0.212189,-0.014298,-0.026575,0.928478,0.036144,0.042516,0.046548,0.004517,0.004982,0.004343,-0.010405,0.000173,0.194725,0.212673,0.219372,0.024333,0.225387,0.243624,-0.013197,0.941447,-0.018237,0.048107
2026-08-13,cboe,732.130000,0.187619,0.203541,0.215242,-0.015922,-0.027623,0.921776,0.033089,0.039311,0.043399,0.004513,0.005136,0.004741,-0.010311,-0.000229,0.176361,0.193135,0.201631,0.024051,0.228541,0.247318,-0.013299,0.941811,-0.018777,0.045732
2026-08-14,cboe,730.650000,0.182369,0.199277,0.211194,-0.016908,-0.028824,0.915153,0.035747,0.042440,0.045927,0.005033,0.005863,0.005506,-0.010181,-0.000472,0.196012,0.212970,0.217465,0.027600,0.225019,0.246285,-0.013825,0.938561,-0.021266,0.046092
2026-08-17,cboe,729.510000,0.185805,0.201125,0.213778,-0.015320,-0.027973,0.923828,0.044950,0.049057,0.051297,0.005289,0.006293,0.005660,-0.006347,-0.000371,0.241921,0.243914,0.239955,0.028468,0.226349,0.248620,-0.012570,0.944466,-0.022272,0.050101
