date,source,spot,iv30,iv60,iv90,slope_30_60,slope_30_90,ratio_30_60,rr25_30,rr25_60,rr25_90,bf25_30,bf25_60,bf25_90,rr_slope_30_90,bf_slope_30_90,rr25_30_norm,rr25_60_norm,rr25_90_norm,bf25_30_norm,iv180,iv365,slope_90_180,ratio_90_180,slope_180_365,rr25_180,rv21,vrp_30
2026-07-10,cboe,7570.480000,0.121948,0.135198,0.140965,-0.013250,-0.019017,0.901992,0.038974,0.046614,0.050944,0.005210,0.007031,0.007935,-0.011971,-0.002724,0.319593,0.344783,0.361397,0.042723,,,,,,,,
2026-07-13,cboe,7512.580100,0.139120,0.145277,0.148679,-0.006157,-0.009559,0.957619,0.049761,0.054328,0.057392,0.005741,0.006781,0.008020,-0.007631,-0.002279,0.357682,0.373958,0.386012,0.041266,0.159665,0.174130,-0.010986,0.931194,-0.014465,0.063528,0.147263,-0.008143
2026-07-14,cboe,7515.339800,0.135893,0.141724,0.146222,-0.005831,-0.010329,0.958858,0.048404,0.052273,0.055599,0.005503,0.007088,0.007852,-0.007195,-0.002349,0.356192,0.368839,0.380238,0.040495,0.158092,0.173453,-0.011870,0.924916,-0.015361,0.062436,0.137215,-0.001322
2026-07-17,cboe,7457.689900,0.147586,0.151103,0.152759,-0.003517,-0.005172,0.976727,0.061877,0.064199,0.065224,0.005612,0.007302,0.008035,-0.003348,-0.002423,0.419256,0.424867,0.426976,0.038027,0.162200,0.176415,-0.009441,0.941795,-0.014215,0.068746,0.112641,0.034945
2026-07-20,cboe,7443.279800,0.147968,0.150148,0.152760,-0.002180,-0.004793,0.985478,0.061566,0.062692,0.064887,0.005999,0.007356,0.008210,-0.003321,-0.002212,0.416078,0.417537,0.424762,0.040539,0.161044,0.175419,-0.008284,0.948560,-0.014375,0.068189,0.116405,0.031563
2026-07-21,cboe,7509.200200,0.135092,0.141580,0.146842,-0.006489,-0.011750,0.954168,0.054092,0.057420,0.060654,0.006364,0.007798,0.008587,-0.006562,-0.002223,0.400410,0.405562,0.413057,0.047107,0.157344,0.172519,-0.010503,0.933251,-0.015175,0.065573,0.108351,0.026741
2026-07-22,cboe,7498.960000,0.131963,0.139814,0.145459,-0.007851,-0.013497,0.943845,0.054183,0.058663,0.061483,0.006296,0.007776,0.008545,-0.007299,-0.002249,0.410595,0.419577,0.422679,0.047713,0.156874,0.172571,-0.011415,0.927237,-0.015697,0.066327,0.106105,0.025858
2026-07-23,cboe,7408.299800,0.148913,0.152095,0.155008,-0.003182,-0.006096,0.979076,0.063345,0.065851,0.068181,0.006344,0.007340,0.008294,-0.004836,-0.001950,0.425382,0.432960,0.439851,0.042604,0.162487,0.175881,-0.007479,0.953973,-0.013393,0.070597,0.105364,0.043549
2026-07-24,cboe,7411.980000,0.146151,0.151286,0.154202,-0.005134,-0.008051,0.966061,0.061355,0.064913,0.067573,0.005770,0.006378,0.008144,-0.006218,-0.002374,0.419803,0.429078,0.438207,0.039479,0.161670,0.175366,-0.007467,0.953810,-0.013696,0.070863,0.101567,0.044584
2026-07-27,cboe,7413.180200,0.146955,0.149314,0.153089,-0.002359,-0.006133,0.984202,0.060766,0.063307,0.065803,0.005505,0.007253,0.007856,-0.005037,-0.002352,0.413501,0.423987,0.429834,0.037458,0.159731,0.173694,-0.006642,0.958418,-0.013963,0.069197,0.101465,0.045490
2026-07-28,cboe,7428.779800,0.146372,0.146952,0.150851,-0.000580,-0.004479,0.996051,0.059358,0.061566,0.064588,0.005654,0.006943,0.007874,-0.005230,-0.002220,0.405530,0.418955,0.428159,0.038627,0.157713,0.172147,-0.006862,0.956488,-0.014433,0.067588,0.101454,0.044918
2026-07-29,cboe,7316.149900,0.170305,0.163853,0.164580,0.006452,0.005725,1.039377,0.067278,0.070704,0.072905,0.004427,0.006817,0.007929,-0.005627,-0.003502,0.395044,0.431509,0.442976,0.025994,0.166999,0.178170,-0.002419,0.985517,-0.011172,0.074529,0.101581,0.068724
2026-07-30,cboe,7437.629900,0.138081,0.142501,0.147837,-0.004420,-0.009757,0.968981,0.050651,0.056000,0.060601,0.005425,0.007120,0.008200,-0.009950,-0.002775,0.366822,0.392979,0.409914,0.039289,0.156191,0.170507,-0.008354,0.946514,-0.014316,0.065843,0.106917,0.031164
2026-07-31,cboe,7489.720200,0.127180,0.136507,0.143616,-0.009327,-0.016436,0.931676,0.046341,0.053110,0.058055,0.005668,0.007187,0.008016,-0.011715,-0.002347,0.364370,0.389066,0.404241,0.044570,0.153402,0.168896,-0.009786,0.936207,-0.015494,0.063989,0.119136,0.008044
2026-08-03,cboe,7600.500000,0.125555,0.135715,0.142871,-0.010160,-0.017316,0.925137,0.036172,0.044338,0.050322,0.006682,0.007639,0.008435,-0.014149,-0.001753,0.288100,0.326696,0.352219,0.053216,0.153174,0.168830,-0.010303,0.932736,-0.015655,0.058609,0.121611,0.003944
2026-08-04,cboe,7736.520000,0.134001,0.141988,0.148220,-0.007988,-0.014219,0.943744,0.026991,0.036914,0.044312,0.007790,0.007820,0.008852,-0.017321,-0.001062,0.201425,0.259981,0.298961,0.058132,0.156219,0.169958,-0.007999,0.948796,-0.013739,0.053263,0.131761,0.002240
2026-08-06,cboe,7709.960000,0.124583,0.134277,0.142260,-0.009694,-0.017676,0.927808,0.033995,0.042594,0.048456,0.004899,0.006840,0.008138,-0.014461,-0.003239,0.272867,0.317212,0.340614,0.039322,0.152442,0.167724,-0.010182,0.933205,-0.015283,0.055836,0.141771,-0.017188
2026-08-07,cboe,7757.640100,0.121518,0.134429,0.143165,-0.012911,-0.021647,0.903959,0.028331,0.038384,0.045470,0.004885,0.006947,0.007972,-0.017139,-0.003088,0.233144,0.285537,0.317604,0.040198,0.153677,0.168667,-0.010512,0.931600,-0.014991,0.054362,0.141423,-0.019905
2026-08-10,cboe,7753.109900,0.123449,0.136895,0.145162,-0.013446,-0.021713,0.901780,0.030563,0.040542,0.046678,0.005188,0.007122,0.007911,-0.016115,-0.002723,0.247573,0.296158,0.321559,0.042025,0.155128,0.170014,-0.009966,0.935756,-0.014886,0.055391,0.140421,-0.016972
