date,source,spot,iv30,iv60,iv90,slope_30_60,slope_30_90,ratio_30_60,rr25_30,rr25_60,rr25_90,bf25_30,bf25_60,bf25_90,rr_slope_30_90,bf_slope_30_90,rr25_30_norm,rr25_60_norm,rr25_90_norm,bf25_30_norm,iv180,iv365,slope_90_180,ratio_90_180,slope_180_365,rr25_180
2026-07-10,cboe,754.430000,0.125980,0.136703,0.143795,-0.010723,-0.017815,0.921559,0.039390,0.046090,0.050953,0.004466,0.005513,0.006534,-0.011564,-0.002068,0.312666,0.337154,0.354347,0.035451,,,,,,
2026-07-14,cboe,751.020000,0.143013,0.147333,0.151268,-0.004320,-0.008255,0.970676,0.051010,0.054169,0.057467,0.004756,0.005541,0.006923,-0.006457,-0.002167,0.356679,0.367666,0.379899,0.033258,0.164786,0.180933,-0.013518,0.917965,-0.016147,0.063258
2026-07-17,cboe,742.840000,0.151467,0.153435,0.156270,-0.001968,-0.004802,0.987174,0.062336,0.064506,0.065386,0.004570,0.005858,0.006693,-0.003050,-0.002123,0.411550,0.420414,0.418419,0.030174,0.166834,0.183305,-0.010564,0.936679,-0.016471,0.068609
2026-07-20,cboe,741.590000,0.151262,0.153140,0.156458,-0.001879,-0.005196,0.987733,0.061701,0.064368,0.065158,0.004872,0.006121,0.006244,-0.003457,-0.001372,0.407908,0.420322,0.416456,0.032207,0.165663,0.183803,-0.009205,0.944435,-0.018140,0.068498
2026-07-21,cboe,747.870000,0.137337,0.145283,0.150354,-0.007946,-0.013017,0.945307,0.054053,0.058222,0.059993,0.005393,0.005945,0.006461,-0.005940,-0.001069,0.393581,0.400748,0.399013,0.039267,0.163288,0.179515,-0.012934,0.920788,-0.016227,0.065488
2026-07-22,cboe,748.480000,0.132688,0.142926,0.149222,-0.010238,-0.016534,0.928370,0.052295,0.059051,0.061334,0.006365,0.005996,0.006504,-0.009039,-0.000139,0.394117,0.413160,0.411024,0.047970,0.162510,0.180289,-0.013288,0.918235,-0.017779,0.065348
2026-07-23,cboe,739.350000,0.152823,0.154976,0.158553,-0.002154,-0.005730,0.986104,0.063364,0.066176,0.067362,0.004536,0.005819,0.006245,-0.003999,-0.001709,0.414621,0.427010,0.424857,0.029684,0.168458,0.182855,-0.009905,0.941204,-0.014398,0.070725
2026-07-24,cboe,738.570000,0.151235,0.153673,0.157604,-0.002439,-0.006369,0.984131,0.062678,0.066175,0.067365,0.004498,0.005811,0.006341,-0.004687,-0.001843,0.414442,0.430619,0.427433,0.029744,0.168168,0.182250,-0.010564,0.937180,-0.014082,0.070917
2026-07-27,cboe,739.000000,0.152201,0.151760,0.156431,0.000441,-0.004229,1.002907,0.061319,0.063731,0.065554,0.004402,0.005822,0.006017,-0.004235,-0.001616,0.402878,0.419945,0.419060,0.028919,0.165379,0.182007,-0.008949,0.945890,-0.016627,0.069166
2026-07-28,cboe,741.490000,0.149229,0.149170,0.153594,0.000059,-0.004365,1.000398,0.059181,0.061737,0.064145,0.004603,0.005943,0.006548,-0.004964,-0.001945,0.396576,0.413870,0.417624,0.030843,0.163143,0.179952,-0.009549,0.941466,-0.016809,0.067808
2026-07-29,cboe,727.450000,0.171746,0.165616,0.167387,0.006131,0.004359,1.037018,0.066568,0.071703,0.072758,0.003507,0.006104,0.006582,-0.006190,-0.003075,0.387593,0.432950,0.434669,0.020418,0.173141,0.184917,-0.005754,0.966766,-0.011776,0.074723
2026-07-30,cboe,743.030000,0.139312,0.144361,0.150848,-0.005049,-0.011536,0.965023,0.049978,0.056172,0.059884,0.004565,0.006151,0.006401,-0.009906,-0.001836,0.358751,0.389107,0.396983,0.032771,0.161503,0.178239,-0.010655,0.934026,-0.016736,0.065967
2026-07-31,cboe,746.740000,0.128389,0.138169,0.146770,-0.009780,-0.018380,0.929217,0.045932,0.053287,0.057424,0.004817,0.006312,0.006088,-0.011492,-0.001272,0.357753,0.385666,0.391251,0.037518,0.159203,0.177646,-0.012433,0.921903,-0.018443,0.064104
2026-08-03,cboe,758.170000,0.127882,0.137617,0.146111,-0.009735,-0.018229,0.929258,0.035537,0.044335,0.049672,0.005675,0.006698,0.006499,-0.014135,-0.000824,0.277890,0.322160,0.339964,0.044377,0.158620,0.176403,-0.012510,0.921134,-0.017783,0.058309
2026-08-04,cboe,771.670000,0.135077,0.144060,0.151062,-0.008983,-0.015985,0.937642,0.026030,0.037742,0.043710,0.007555,0.006508,0.007187,-0.017680,0.000368,0.192704,0.261986,0.289354,0.055934,0.160565,0.177946,-0.009504,0.940812,-0.017381,0.052772
